Customer,CustomerId,CustomerNo,Description,Quantity,Unit Price
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,90.00,12062.38
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Enterprise Mobility + Security E5 - Enterprise Mobility + Security E5 - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,2.00,200.21
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Business Standard - Microsoft 365 Business Standard - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,139.00,10581.46
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,3.00,146.23
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,5.00,0.00
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,6.00,145.97
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,144.00,1757.95
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,40.00,1949.79
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Rooms Pro - Microsoft Teams Rooms Pro - cycleCharge  8/1/2024 12:00:00 AM - 8/31/2024 12:00:00 AM  G058476827   ,8.00,1949.09
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Visio Plan 2 - Visio Plan 2 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,16.00,1462.17
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Power BI Pro - Power BI Pro - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,21.00,1280.01
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,10.00,2451.19
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Project Plan 5 - Project Plan 5 - cycleCharge 8/19/2024 12:00:00 AM - 9/18/2024 12:00:00 AM  G058476827   ,1.00,335.02
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,30.00,572.25
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 E5 - Microsoft 365 E5 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,2.00,776.25
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Shared Devices - Microsoft Teams Shared Devices - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,14.00,682.43
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Project Online Essentials - Project Online Essentials - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,1.00,42.64
