Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - addQuantity  9/27/2022-9/27/2022  September   ,33.00,-236.78
BLS Capital Management,31179580,Dynamics 365 CRM New Commerce Promotional Offer Annual - Dynamics 365 Sales Enterprise Edition - cycleCharge  9/28/2022-10/27/2022  September   ,1.00,532.50
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - addQuantity  9/27/2022-9/27/2022  September   ,34.00,243.95
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 2) - cycleCharge  9/28/2022-10/27/2022  September   ,14.00,669.03
BLS Capital Management,31179580,Microsoft 365 Audio Conferencing Adoption Promo - Microsoft 365 Business Voice Adoption Promo - Microsoft 365 Audio Conferencing - cycleCharge  9/28/2022-10/27/2022  September   ,32.00,0.00
BLS Capital Management,31179580,Microsoft 365 E5 Compliance - Microsoft 365 E5 Compliance - cycleCharge  9/28/2022-10/27/2022  September   ,3.00,226.50
BLS Capital Management,31179580,Power Automate per user plan - Power Automate per user plan - renew  9/28/2022-10/27/2022  September   ,1.00,106.20
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - cycleCharge  9/28/2022-10/27/2022  September   ,28.00,1338.05
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - cycleCharge  9/28/2022-10/27/2022  September   ,34.00,7567.98
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - Virtual User - cycleCharge  9/28/2022-10/27/2022  September   ,10.00,0.00
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  9/18/2022-10/17/2022  September   ,32.00,403.20
