Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,1275.13,25.00
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,1.00,753.04
BLS Capital Management,31179580,Backup - Backup - Standard - EU West - new ,393.97,173.05
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,1.00,94.13
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,8.64,0.05
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.65,0.13
BLS Capital Management,31179580,Files - Files - LRS - new ,5.00,2.94
BLS Capital Management,31179580,Azure Active Directory Domain Services - Azure ,719.80,1058.59
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,3.02,1.60
BLS Capital Management,31179580,Network Watcher - Network Watcher - new ,0.42,0.00
BLS Capital Management,31179580,Standard Page Blob - Standard Page Blob - LRS - ,4.32,0.02
BLS Capital Management,31179580,Virtual Machines BS Series - Virtual Machines BS ,719.83,338.76
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,4.32,0.02
BLS Capital Management,31179580,SQL Server Standard - SQL Server Standard - 1-4 ,719.90,2823.29
BLS Capital Management,31179580,Rtn Preference: MGN - Rtn Preference: MGN - new ,25.50,0.00
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0.02,0.01
BLS Capital Management,31179580,Virtual Machines Av2 Series Windows - Virtual ,719.90,1933.95
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,2.00,425.15
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,77.22,0.27
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,77.26,3.26
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.11,0.00
BLS Capital Management,31179580,Tables - Tables - RA-GRS - new ,0.01,0.01
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,720.00,28.24
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,545.00,71.82
BLS Capital Management,31179580,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.17,0.00
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,26.30,13.93
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,4.96,0.95
BLS Capital Management,31179580,IP Addresses - IP Addresses - Standard IPv4 - new ,1440.00,70.59
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,1440.00,50.83
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,0.06,0.00
BLS Capital Management,31179580,Tables - Tables - GRS - new ,0.87,0.00
BLS Capital Management,31179580,Virtual Machines Dv2 Series Windows - Virtual ,1439.77,3754.88
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,1.00,15.06
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.06,0.00
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,1.38,1.02
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,1.00,110.09
BLS Capital Management,31179580,Backup - Backup - On Premises Server - EU West - ,0.97,94.88
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,0.00,0.00
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,24.76,4.86
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,0.00,0.00
BLS Capital Management,31179580,Tables - Tables - LRS - new ,1.32,0.00
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,156.32,0.77
BLS Capital Management,31179580,Standard Page Blob - Standard Page Blob - LRS - ,8.64,0.03
