Customer,CustomerNo,Description,Quantity,Unit Price
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 10/20/2022-11/11/2022  October   ,95.00,-18579.63
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  10/10/2022-11/9/2022  October   ,8.00,201.60
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  10/12/2022-10/31/2022  October   ,94.00,-763.75
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  10/28/2022-11/27/2022  October   ,49.00,2957.76
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  10/20/2022-10/31/2022  October   ,95.00,-463.13
Norli Liv og Pension Livsforsikring A/S,64145711,Windows 365 Enterprise - Windows 365 Enterprise 4 vCPU; 16 GB; 512 GB - cycleCharge  10/12/2022-11/11/2022  October   ,2.00,1312.93
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  10/28/2022-11/27/2022  October   ,50.00,0.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  10/12/2022-10/31/2022  October   ,95.00,771.88
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  10/20/2022-10/31/2022  October   ,96.00,468.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  10/1/2022-10/31/2022  October   ,1.00,118.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 10/12/2022-11/11/2022  October   ,94.00,-24778.40
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 10/12/2022-11/11/2022  October   ,95.00,25042.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  10/1/2022-10/31/2022  October   ,94.00,1184.40
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 10/12/2022-11/11/2022  October   ,94.00,24778.40
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  10/12/2022-11/11/2022  October   ,1.00,125.90
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 F3 - Microsoft 365 F3 - cycleCharge 10/1/2022-10/31/2022  October   ,4.00,201.20
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 10/20/2022-11/11/2022  October   ,96.00,18775.20
