Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Nord Tech Industrisystemer,18175509,Visio Plan 2 - Visio Plan 2 - cycleCharge 2/17/2023-3/16/2023  February   ,94.4,75.52,1,1.00,7.00,80.81,80.81,5.29
Nord Tech Industrisystemer,18175509,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  2/17/2023-3/16/2023  February   ,50.3,40.24,1,1.00,25.00,50.30,50.30,10.06
Nord Tech Industrisystemer,18175509,Dynamics 365 Business Central Essentials - Dynamics 365 Business Central Essentials - cycleCharge  2/1/2023-2/28/2023  February   ,385.44,308.35,1,1.00,25.00,385.44,385.44,77.09
Nord Tech Industrisystemer,18175509,Microsoft 365 Business Basic - Microsoft 365 Business Basic - cycleCharge  2/17/2023-3/16/2023  February   ,113.4,30.24,1,3.00,25.00,37.80,113.40,22.68
Nord Tech Industrisystemer,18175509,Exchange Online (Plan 1) - Exchange Online (Plan 1) - renew  2/25/2023-2/24/2024  February   ,907.2,241.92,1,3.00,25.00,302.40,907.20,181.44
Nord Tech Industrisystemer,18175509,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  2/12/2023-3/11/2023  February   ,1156.9,40.24,1,23.00,25.00,50.30,1156.90,231.38
Nord Tech Industrisystemer,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  2/17/2023-3/16/2023  February   ,3878,110.8,1,28.00,25.00,138.50,3878.00,775.60
GOSH Copenhagen,89885019,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  2/28/2023-3/27/2023  February   ,181.08,48.29,1,3.00,25.00,60.36,181.09,36.22
GOSH Copenhagen,89885019,Exchange Online (Plan 1) - Exchange Online (Plan 1) - renew  2/12/2023-3/11/2023  February   ,30.24,24.19,1,1.00,25.00,30.24,30.24,6.05
GOSH Copenhagen,89885019,Microsoft 365 Business Standard - Microsoft 365 Business Standard - renew  2/28/2023-3/27/2023  February   ,708.3,62.96,1,9.00,25.00,78.70,708.30,141.66
GOSH Copenhagen,89885019,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - renew  2/28/2023-3/27/2023  February   ,1393.73,15.7,1,71.00,25.00,19.63,1393.38,278.68
GOSH Copenhagen,89885019,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  2/1/2023-2/28/2023  February   ,236,94.4,1,2.00,9.00,102.90,205.79,16.99
