Customer,CustomerId,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Power BI Pro - Power BI Pro - addQuantity 5/2/2024-5/27/2024  May   ,-1150.83,55.92,1,19.00,9.00,-52.82,-1003.61,-82.87
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  5/28/2024-6/27/2024  May   ,2236,44.72,1,40.00,9.00,48.74,1949.79,160.99
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - cycleCharge  5/28/2024-6/27/2024  May   ,656.4,17.5,1,30.00,9.00,19.08,572.25,47.25
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Entra ID P1 - Microsoft Entra ID P1 - renew  5/3/2024-6/2/2024  May   ,150.84,40.22,1,3.00,25.00,50.28,150.83,30.17
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Shared Devices - Microsoft Teams Shared Devices - cycleCharge  5/28/2024-6/27/2024  May   ,782.6,44.72,1,14.00,9.00,48.74,682.43,56.35
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  5/28/2024-6/27/2024  May   ,13833,122.96,1,90.00,9.00,134.03,12062.38,995.98
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  5/28/2024-6/27/2024  May   ,167.7,44.72,1,3.00,9.00,48.74,146.23,12.07
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Rooms Pro - Microsoft Teams Rooms Pro - cycleCharge  5/1/2024-5/31/2024  May   ,2235.2,223.52,1,8.00,9.00,243.64,1949.09,160.93
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Project Plan 5 - Project Plan 5 - cycleCharge 5/19/2024-6/18/2024  May   ,384.2,307.36,1,1.00,9.00,335.02,335.02,27.66
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Project Online Essentials - Project Online Essentials - cycleCharge  5/28/2024-6/27/2024  May   ,48.9,39.12,1,1.00,9.00,42.64,42.64,3.52
