Customer,CustomerId,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Az DB for MySQL Flexible Server Storage - Az DB ,18.54,0.13,6.89935,20.00,0.00,0.74,14.84,0.01
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Azure App Service Free Plan - Azure App Service ,0,0.00,6.89935,10.00,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Azure App Service Premium v2 Plan - Azure App ,1090.78,0.20,6.89935,744.00,0.00,1.17,872.63,0.01
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Standard HDD Managed Disks - Standard HDD Managed ,3.1,0.00,6.89935,857.82,0.00,0.00,2.52,0.04
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Virtual Machines BS Series - Reserved VM Instance; ,113.75,13.19,6.89935,1.00,0.00,91.00,91.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Azure App Service Free Plan - Azure App Service ,0,0.00,6.89935,4.00,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Azure Database for MySQL Flexible Server Burstable ,98.14,0.02,6.89935,744.00,0.00,0.11,78.54,0.03
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,General Block Blob - General Block Blob - LRS - ,0,0.00,6.89935,2.05,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Rtn Preference: MGN - Rtn Preference: MGN - Azure ,0,0.09,6.89935,16.98,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Standard HDD Managed Disks - Standard HDD Managed ,43.11,5.89,6.89935,1.00,0.00,34.53,34.53,0.04
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,General Block Blob - General Block Blob - LRS - ,180.06,0.02,6.89935,1024.00,0.00,0.14,144.12,0.07
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,IP Addresses - IP Addresses - Standard IPv4 - ,27.25,0.01,6.89935,744.00,0.00,0.03,21.82,0.02
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0,0.02,6.89935,0.02,0.00,0.12,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0,0.05,6.89935,0.19,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,General Block Blob - General Block Blob - LRS - ,51.23,0.02,6.89935,296.38,0.00,0.14,41.02,0.04
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Microsoft Entra ID P1 - Microsoft Entra ID P1 - renew  8/15/2024 12:00:00 AM - 9/14/2024 12:00:00 AM  G058476827   ,50.28,40.22,1,1.00,25.00,50.28,50.28,10.06
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,SQL Database - LTR Backup Storage - SQL Database - ,0.25,0.06,6.89935,0.64,0.00,0.32,0.21,0.01
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Windows Server Burst - Windows Server Burst - 2 ,43.55,0.01,6.89935,743.98,0.00,0.05,34.90,0.06
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,SQL Database Single Standard - SQL Database Single ,219.91,0.48,6.89935,62.00,0.00,2.84,175.94,0.01
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,General Block Blob - General Block Blob - LRS - ,0,0.00,6.89935,0.02,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,General Block Blob - General Block Blob - LRS - ,0,0.00,6.89935,0.01,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0,2.76,6.89935,0.48,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Tables - Tables - LRS - Azure plannew ,0,0.00,6.89935,0.45,0.00,0.00,0.00,0.00
GoWingu ApS,7b62b477-c11e-48fa-a1a1-f50dd448ad9c,99999001,Virtual Machines RI - Virtual Machines RI - Azure ,0,0.00,6.89935,743.98,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,General Block Blob - General Block Blob - LRS - ,0,0.02,6.89935,0.01,0.00,0.14,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - renew  8/21/2024 12:00:00 AM - 9/20/2024 12:00:00 AM  G058476827   ,0,0.00,1,25.00,25.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0,2.99,6.89935,0.17,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  8/21/2024 12:00:00 AM - 9/20/2024 12:00:00 AM  G058476827   ,201.24,53.66,1,3.00,25.00,67.08,201.23,40.25
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Rtn Preference: MGN - Rtn Preference: MGN - Azure ,0,0.09,6.89935,0.90,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Tables - Tables - LRS - Azure plannew ,0,0.00,6.89935,3.63,0.00,0.00,0.01,0.01
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Blob Storage - Blob Storage - Hot LRS - EU North - ,0,0.02,6.89935,0.01,0.00,0.13,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Azure App Service Free Plan - Linux - Azure App ,0,0.00,6.89935,1.00,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Azure App Service Standard Plan - Azure App ,1636.18,0.10,6.89935,2232.00,0.00,0.59,1308.94,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,General Block Blob - General Block Blob - LRS - ,0,0.00,6.89935,0.02,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Azure App Service Basic Plan - Linux - Azure App ,98.14,0.02,6.89935,744.00,0.00,0.11,78.54,0.03
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Blob Storage - Blob Storage - Hot LRS - EU West - ,0,0.00,6.89935,0.04,0.00,0.03,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,SQL Database Single/Elastic Pool General Purpose - ,1693.53,0.16,6.89935,1488.00,0.00,0.91,1354.85,0.03
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,SQL Database Single/Elastic Pool General Purpose - ,38.55,0.13,6.89935,41.60,0.00,0.74,30.86,0.02
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Blob Storage - Blob Storage - Hot LRS - US East - ,0,0.00,6.89935,0.04,0.00,0.02,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Geographic Numbers - Geographic Numbers - DK - US ,41.99,0.82,6.89935,7.00,0.00,4.81,33.66,0.07
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Service Bus - Service Bus - Standard - Azure ,0,0.80,6.89935,0.00,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Event Grid - Event Grid - Azure plannew ,0,0.06,6.89935,0.00,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Service Bus - Service Bus - Hybrid Connections - ,72.95,0.01,6.89935,743.35,0.00,0.08,58.42,0.06
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Blob Storage - Blob Storage - Hot LRS - EU North - ,0,0.00,6.89935,0.06,0.00,0.02,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Azure App Service Free Plan - Azure App Service ,0,0.00,6.89935,6.00,0.00,0.00,0.00,0.00
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,SQL Database Single/Elastic Pool General Purpose - ,1090.35,0.10,6.89935,1488.00,0.00,0.59,872.33,0.05
New Co,f0d423c7-fdfd-46d5-99a1-b1fb85b47cdd,44149141,Files - Files - LRS - Azure plannew ,4.39,0.06,6.89935,10.01,0.00,0.35,3.52,0.01
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Dynamics 365 Business Central Essentials - Dynamics 365 Business Central Essentials - cycleCharge  8/1/2024 12:00:00 AM - 8/31/2024 12:00:00 AM  G058476827   ,770.88,308.35,1,2.00,25.00,385.44,770.88,154.18
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Basic - Microsoft 365 Business Basic - cycleCharge  8/17/2024 12:00:00 AM - 9/16/2024 12:00:00 AM  G058476827   ,167.6,33.52,1,4.00,25.00,41.90,167.60,33.52
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  8/17/2024 12:00:00 AM - 9/16/2024 12:00:00 AM  G058476827   ,55.9,44.72,1,1.00,25.00,55.90,55.90,11.18
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Visio Plan 2 - Visio Plan 2 - cycleCharge 8/17/2024 12:00:00 AM - 9/16/2024 12:00:00 AM  G058476827   ,104.8,83.84,1,1.00,25.00,104.80,104.80,20.96
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  8/12/2024 12:00:00 AM - 9/11/2024 12:00:00 AM  G058476827   ,1341.6,44.72,1,24.00,25.00,55.90,1341.60,268.32
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  8/17/2024 12:00:00 AM - 9/16/2024 12:00:00 AM  G058476827   ,4457.3,122.96,1,29.00,25.00,153.70,4457.30,891.46
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,13833,122.96,1,90.00,9.00,134.03,12062.38,995.98
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Enterprise Mobility + Security E5 - Enterprise Mobility + Security E5 - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,229.6,91.84,1,2.00,9.00,100.11,200.21,16.53
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Business Standard - Microsoft 365 Business Standard - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,12134.7,69.84,1,139.00,9.00,76.13,10581.46,873.70
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,167.7,44.72,1,3.00,9.00,48.74,146.23,12.07
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,0,0.00,1,5.00,9.00,0.00,0.00,0.00
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,167.4,22.32,1,6.00,9.00,24.33,145.97,12.05
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,2016,11.20,1,144.00,9.00,12.21,1757.95,145.15
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,2236,44.72,1,40.00,9.00,48.74,1949.79,160.99
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft Teams Rooms Pro - Microsoft Teams Rooms Pro - cycleCharge  8/1/2024 12:00:00 AM - 8/31/2024 12:00:00 AM  G058476827   ,2235.2,223.52,1,8.00,9.00,243.64,1949.09,160.93
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Visio Plan 2 - Visio Plan 2 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,1676.8,83.84,1,16.00,9.00,91.39,1462.17,120.73
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Power BI Pro - Power BI Pro - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,1467.9,55.92,1,21.00,9.00,60.95,1280.01,105.69
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,2811,224.88,1,10.00,9.00,245.12,2451.19,202.39
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Project Plan 5 - Project Plan 5 - cycleCharge 8/19/2024 12:00:00 AM - 9/18/2024 12:00:00 AM  G058476827   ,384.2,307.36,1,1.00,9.00,335.02,335.02,27.66
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - cycleCharge  8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,656.4,17.50,1,30.00,9.00,19.08,572.25,47.25
Nordic Bioscience,80ed74fa-8f44-4a36-9520-c03e719ed98a,30799968,Microsoft 365 E5 - Microsoft 365 E5 - cycleCharge 8/28/2024 12:00:00 AM - 9/27/2024 12:00:00 AM  G058476827   ,890.2,356.08,1,2.00,9.00,388.13,776.25,64.09
