Customer,CustomerNo,Description,Quantity,Unit Price
Skypecall.me,INT00004,Voice and Video Calling - Voice and Video Calling ,16.49,0.40
Skypecall.me,INT00004,Tables - Tables - LRS - new ,0.01,0.00
Skypecall.me,INT00004,Azure App Service Basic Plan - Linux - Azure App ,744.00,81.42
Skypecall.me,INT00004,Blob Storage - Blob Storage - Hot LRS - EU North - ,0.01,0.00
Skypecall.me,INT00004,Blob Storage - Blob Storage - Hot LRS - EU North - ,0.04,0.00
Skypecall.me,INT00004,Blob Storage - Blob Storage - Hot LRS - EU North - ,0.02,0.00
Skypecall.me,INT00004,Azure App Service Free Plan - Linux - Azure App ,2.00,0.00
Skypecall.me,INT00004,Blob Storage - Blob Storage - Hot LRS - EU North - ,0.00,0.00
Skypecall.me,INT00004,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.00,0.00
Skypecall.me,INT00004,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.00,0.00
Skypecall.me,INT00004,Rtn Preference: MGN - Rtn Preference: MGN - new ,0.04,0.00
Skypecall.me,INT00004,Blob Storage - Blob Storage - Hot LRS - EU North - ,0.00,0.00
Skypecall.me,INT00004,Tables - Tables - LRS - new ,0.91,0.00
Skypecall.me,INT00004,Rtn Preference: MGN - Rtn Preference: MGN - new ,0.01,0.00
