A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
ADD,20200401,99991231,Dynamics 365 Business Central Database Capacity,808e03a8-e655-4471-8384-a2d021f1ea0c,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,176.2,251.7,1OZ-00002
ADD,20200401,99991231,Dynamics 365 Business Central Database Capacity (Nonprofit Staff Pricing),7c19c0d2-6c3b-472e-9d40-6ddbe5636c2b,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,90.6,100.7,1OZ-00003
ADD,20200401,99991231,Dynamics 365 Business Central Database Capacity for Faculty,2567ee5c-23ab-4488-9e7b-08b54521a6f4,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,96.9,138.5,1P1-00002
ADD,20200401,99991231,Dynamics 365 Business Central Database Capacity for Students,91f39f68-ccc4-4c88-8cde-c4cfb54899b0,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,70.5,100.7,1P1-00003
ADD,20200401,99991231,Dynamics 365 Call Intelligence AddOn for Faculty,9d9aa164-1ac8-4d6c-9f1e-cb6173673f95,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,9912.1,13216.1,RNT-00003
ADD,20200401,99991231,IoT Intelligence Additional Machines,c3135f36-2fc3-4548-8c78-85efde24d69e,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,1101.3,1573.4,UTY-00002
ADD,20200401,99991231,IoT Intelligence Additional Machines (36 mo),a2601608-8ac1-40a4-b803-8354594265a1,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,1101.3,1573.4,UTY-00003
ADD,20200401,99991231,IoT Intelligence Additional Machines for Faculty,9097d4af-cbd2-4e04-a8f7-c99dc2967a90,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,605.7,865.3,UTZ-00002
ADD,20200401,99991231,IoT Intelligence Additional Machines for Students,8bfbe09a-5257-4996-a42d-e5bd3877acf2,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,440.5,629.3,UTZ-00003
ADD,20200401,99991231,IoT Intelligence Scenario,72f7ac4e-8c8e-4d9a-8e16-d04156cd8c97,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,6608.1,9440.1,UTW-00002
ADD,20200401,99991231,IoT Intelligence Scenario (36 mo),d5a39592-5546-4627-b4f0-75301f70f4a4,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,6608.1,9440.1,UTW-00003
ADD,20200401,99991231,IoT Intelligence Scenario for Faculty,f420fd9d-5bca-4b4f-bb1c-85d6766552ae,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,3634.4,5192.1,UTX-00002
ADD,20200401,99991231,IoT Intelligence Scenario for Students,3626a879-c1b2-451d-8c14-12470812bbfe,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,2643.2,3776,UTX-00003
ADD,20200401,99991231,Microsoft 365 A5 eDiscovery and Audit for faculty,5d7c0030-c2e9-4a8c-bed3-5a6dbf1e4449,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,8.56,10.7,1CH-00006
ADD,20200401,99991231,Microsoft 365 A5 eDiscovery and Audit for students,6c6e2e9c-2156-4f7c-9c78-f94393b750fe,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,7.05,8.81,1CH-00007
ADD,20200401,99991231,Microsoft 365 A5 Information Protection and Governance for faculty,0514821c-f7d8-41fc-8c94-59e59d3d6034,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,10.07,12.59,1CD-00006
ADD,20200401,99991231,Microsoft 365 A5 Information Protection and Governance for students,a91941ff-79a2-4476-a064-c5a6922e0bbd,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,8.06,10.07,1CD-00007
ADD,20200401,99991231,Microsoft 365 A5 Insider Risk Management for faculty,2ed867d7-fd08-474f-8353-502b500d1c9b,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,8.56,10.7,1CG-00006
ADD,20200401,99991231,Microsoft 365 A5 Insider Risk Management for students,2ba72571-c0f0-4373-b999-d08cc1bb5edd,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,7.05,8.81,1CG-00007
ADD,20200401,99991231,Microsoft 365 Business Voice (without calling plan),cc69a07c-8c51-457f-bb2a-f21a62d6bede,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,60.42,75.52,PZY-00009
ADD,20200401,99991231,Microsoft 365 E5 eDiscovery and Audit,b8c46a9e-5585-4c81-bfd8-5e7480b27680,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,30.21,37.76,1CC-00005
ADD,20200401,99991231,Microsoft 365 E5 eDiscovery and Audit (Nonprofit Staff Pricing),cc4c4da8-f293-40de-a119-a7e07ddbc1b3,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,13.59,13.59,1CC-00006
ADD,20200401,99991231,Microsoft 365 E5 Information Protection and Governance,98b687f9-7590-48e9-835a-596d9b666cfb,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,35.24,44.05,1C9-00006
ADD,20200401,99991231,Microsoft 365 E5 Information Protection and Governance (Nonprofit Staff Pricing),ca5708b6-97ba-40a0-b8db-4078634da622,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,15.86,15.86,1C9-00007
ADD,20200401,99991231,Microsoft 365 E5 Insider Risk Management,853e72bc-69f0-4e06-a7a8-22e477c41bf6,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,30.21,37.76,1CB-00005
ADD,20200401,99991231,Microsoft 365 E5 Insider Risk Management (Nonprofit Staff Pricing),2666bd6a-3969-47c0-a784-62b1b3d3a2c1,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,13.59,13.59,1CB-00006
ADD,20200401,99991231,Microsoft 365 F1,1ce4a4ba-65f7-49e7-bb28-d92d07d58b86,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,20.14,25.17,1PI-00005
ADD,20200401,99991231,Microsoft 365 F1 Trial,dd97e36a-f0df-4a9a-b461-625420656511,Corporate,1 Month(s),TRIAL,CLOUD RESELLER CORPORATE,0,0,1PI-00006
ADD,20200401,99991231,Power Automate per user with attended RPA plan,a6d4244b-a98b-4640-b691-a32b4d81b6a1,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,188.8,251.7,1O4-00004
ADD,20200401,99991231,Power Automate unattended RPA add-on,d536d35a-dd81-4e5a-8f58-9bdd2d22a16b,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,708,944,1O8-00004
CHG,20200401,99991231,Microsoft 365 A5 Compliance for faculty,9f8f1756-f56f-421e-901a-e80e857cadb8,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,14.1,17.62,AAD-50159
CHG,20200401,99991231,Microsoft 365 A5 Compliance for students,f0f9f37a-539f-4f44-aef6-e37070149499,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,11.58,14.47,AAD-50160
CHG,20200401,99991231,Microsoft 365 E5 Compliance,320c24f4-6bf4-47cf-98e0-4f235ce09d15,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,50.35,62.93,AAD-41524
CHG,20200401,99991231,Microsoft 365 E5 Compliance (Nonprofit Staff Pricing),216d8606-b45f-41cf-b02a-ed270b7f246b,Charity,1 Month(s),ADDON,CLOUD RESELLER CHARITY,22.66,25.17,AAD-41523
DEL,20200401,99991231,Microsoft Power Apps Plan 1 (Qualified Offer),2389eb32-a60d-474a-936c-5feb8ab06aad,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,35.2,44.1,AAA-33898
DEL,20200401,99991231,Microsoft Power Apps Plan 1 (Qualified Offer) (Nonprofit Staff Pricing),49683d3a-c60d-4fae-aa32-50222ca5dde2,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,15.9,17.6,AAD-39975
DEL,20200401,99991231,Microsoft Power Apps Plan 1 (Qualified Offer) for Faculty,29292213-53d6-4def-9b72-86f6326a48a6,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,19.4,24.2,AAA-34571
DEL,20200401,99991231,Microsoft Power Apps Plan 1 (Qualified Offer) for Students,fb0aa8c3-0111-4555-b463-2614c834b5c8,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,14.1,17.6,AAA-34572
DEL,20200401,99991231,Microsoft Power Apps Plan 2 (Qualified Offer),525a468b-18eb-4d4b-b556-02e2699de020,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,201.4,251.7,AAA-33903
DEL,20200401,99991231,Microsoft Power Apps Plan 2 (Qualified Offer) (Nonprofit Staff Pricing),26366bbe-de86-4d44-aa1d-a421be57e09c,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,90.6,100.7,AAD-39977
DEL,20200401,99991231,Microsoft Power Apps Plan 2 (Qualified Offer) for Faculty,f0157581-ad19-46d2-9981-bd5a0e9b40fd,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,110.8,138.5,AAA-34583
