Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Skypecall.me,,15.65,0.107,7.07505,19.57,0.00,0.64,12.59,0.07
Skypecall.me,,0,0.05,7.07505,0.00,0.00,0.30,0.00,0.00
Skypecall.me,,0,0.022,7.07505,0.01,0.00,0.13,0.00,0.00
Skypecall.me,,100.64,0.018,7.07505,744.00,0.00,0.11,80.54,0.03
Skypecall.me,,1701.9,148.68,7.07505,1.52,0.00,894.13,1361.54,0.02
Skypecall.me,,0,0.05,7.07505,0.02,0.00,0.00,0.00,0.00
Skypecall.me,,1736.65,0.155261,7.07505,1488.00,0.00,0.93,1389.36,0.04
Skypecall.me,,110.01,0.025,7.07505,585.61,0.00,0.15,88.04,0.03
Skypecall.me,,0.7,0.002,7.07505,49.83,0.00,0.01,0.60,0.04
Skypecall.me,,0,0.00036,7.07505,0.91,0.00,0.00,0.00,0.00
Skypecall.me,,0,0,7.07505,1.00,0.00,0.00,0.00,0.00
Skypecall.me,,903.13,0.212,7.07505,566.72,0.00,1.27,722.52,0.02
Skypecall.me,,21.93,0.005,7.07505,585.61,0.00,0.03,17.61,0.07
Skypecall.me,,1118.11,0.099966,7.07505,1488.00,0.00,0.60,894.55,0.06
Skypecall.me,,124.16,21.68,7.07505,0.76,0.00,130.38,99.36,0.03
Skypecall.me,,559.28,0.1,7.07505,744.00,0.00,0.60,447.43,0.01
Skypecall.me,,0,0.087,7.07505,0.02,0.00,0.00,0.00,0.00
Skypecall.me,,17.15,9.6,7.07505,0.24,0.00,57.73,13.73,0.01
Skypecall.me,,15.29,0.0036,7.07505,565.78,0.00,0.02,12.25,0.02
Skypecall.me,,0,0,7.07505,1.00,0.00,0.00,0.00,0.00
Skypecall.me,,0,0.05,7.07505,0.00,0.00,0.30,0.00,0.00
Skypecall.me,,0,0.02,7.07505,0.01,0.00,0.12,0.00,0.00
Skypecall.me,,660.54,0.15,7.07505,585.84,0.00,0.90,528.47,0.04
Skypecall.me,,39.53,0.1265,7.07505,41.60,0.00,0.76,31.65,0.03
Skypecall.me,,0,0.045,7.07505,0.01,0.00,0.27,0.00,0.00
Skypecall.me,,17.5,0.004,7.07505,585.16,0.00,0.02,14.08,0.08
Skypecall.me,,112.75,15,7.07505,1.00,0.00,90.21,90.21,0.01
Skypecall.me,,0.61,0.005,7.07505,17.62,0.00,0.03,0.53,0.04
Skypecall.me,,0,0.004,7.07505,0.03,0.00,0.02,0.00,0.00
New Co,,181.08,48.29,1,3.00,n/a,48.29,144.87,0.00
New Co,,0,0,1,25.00,n/a,0.00,0.00,0.00
GoWingu ApS,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,2.37,0.00,0.00,0.01,0.01
GoWingu ApS,Azure App Service Free Plan - Azure App Service Free Plan - F1 - new  7/1/2022-7/31/2022  July   ,0,0,7.07505,5.00,0.00,0.00,0.00,0.00
GoWingu ApS,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,113.01,0.024,7.07505,626.49,0.00,0.14,90.42,0.01
GoWingu ApS,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.45,0.00,0.00,0.00,0.00
GoWingu ApS,Azure App Service Premium v2 Plan - Azure App Service Premium v2 Plan - P1 v2 - EU North - new  7/1/2022-7/31/2022  July   ,1118.56,0.2,7.07505,744.00,0.00,1.20,894.85,0.00
GoWingu ApS,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.02,0.00,0.00,0.00,0.00
GoWingu ApS,SQL Database - LTR Backup Storage - SQL Database - LTR Backup Storage - RA-GRS - EU North - new  7/1/2022-7/31/2022  July   ,0.18,0.055,7.07505,0.55,0.00,0.33,0.18,0.04
GoWingu ApS,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.01,0.00,0.00,0.00,0.00
GoWingu ApS,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0.087,7.07505,13.78,0.00,0.00,0.00,0.00
GoWingu ApS,Azure Database for MySQL Single Server - Backup Storage - Azure Database for MySQL Single Server - Backup Storage - LRS - EU North - new  7/1/2022-7/31/2022  July   ,28.3,0.11,7.07505,34.32,0.00,0.66,22.70,0.06
GoWingu ApS,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.045,7.07505,0.00,0.00,0.27,0.00,0.00
GoWingu ApS,SQL Database Single Standard - SQL Database Single Standard - S0 - new  7/1/2022-7/31/2022  July   ,225.51,0.4839,7.07505,62.00,0.00,2.91,180.42,0.01
